Word,Count
grievances,1.00
riband?,1.00
A,4.00
truth,4.00
Thou!,1.00
displeasure:,1.00
mouse,1.00
which,2.00
And,3.00
beats,2.00
place,2.00
should,3.00
Good,1.00
soul,1.00
ears,1.00
much,1.00
your,14.00
humbly,1.00
entertain'd,1.00
prince,3.00
it,3.00
put,1.00
bethink,1.00
up.,1.00
Gentlemen,2.00
it:,1.00
wear,1.00
Marry,1.00
warrant,1.00
then,1.00
envious,1.00
livery:,1.00
unlucky,1.00
nice,1.00
followers,1.00
that.,1.00
villain,2.00
valour's,1.00
by,6.00
protest,6.00
like,3.00
It,1.00
days,1.00
both,3.00
an,9.00
If,1.00
depend;,1.00
part!',1.00
By,2.00
injured,1.00
rushes;,1.00
PRINCE,4.00
kinsman,4.00
more,4.00
kill'd,1.00
And,11.00
less,11.00
both,11.00
slain,1.00
fights,1.00
consort!,1.00
In,1.00
wide,1.00
Capulets.,1.00
take,3.00
those,3.00
exile,1.00
obey.,1.00
way,3.00
hence,2.00
Thy,2.00
den:,1.00
none;,1.00
hanged,1.00
giving?,1.00
you,11.00
cannot,1.00
thy,5.00
Tybalt!,1.00
much.,1.00
a,35.00
above,1.00
hot,2.00
twixt,1.00
to,22.00
know,1.00
Either,2.00
sword,2.00
Your,2.00
weapons.,1.00
slain.,2.00
were,3.00
and,27.00
forbear,1.00
thought,1.00
something;,1.00
Forbidden,1.00
citizens,1.00
follower;,1.00
